"filename", "language", "CSS", "TypeScript", "TypeScript React", "XML", "comment", "blank", "total"
"h:\work\_projects\react\volume-trainings\src\App.css", "CSS", 13, 0, 0, 0, 0, 0, 13
"h:\work\_projects\react\volume-trainings\src\App.tsx", "TypeScript React", 0, 0, 53, 0, 4, 20, 77
"h:\work\_projects\react\volume-trainings\src\assets\svg\arrow_downward_black_24dp.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"h:\work\_projects\react\volume-trainings\src\assets\svg\close_black_24dp.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"h:\work\_projects\react\volume-trainings\src\assets\svg\content_copy_black_24dp.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"h:\work\_projects\react\volume-trainings\src\assets\svg\delete_outline_black_24dp-red.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"h:\work\_projects\react\volume-trainings\src\assets\svg\delete_outline_black_24dp.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"h:\work\_projects\react\volume-trainings\src\assets\svg\done_black_24dp.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"h:\work\_projects\react\volume-trainings\src\assets\svg\edit_black_24dp.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"h:\work\_projects\react\volume-trainings\src\assets\svg\keyboard_arrow_down_black_24dp.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"h:\work\_projects\react\volume-trainings\src\assets\svg\menu_black_24dp.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"h:\work\_projects\react\volume-trainings\src\components\footer\footer.css", "CSS", 5, 0, 0, 0, 1, 0, 6
"h:\work\_projects\react\volume-trainings\src\components\footer\footer.tsx", "TypeScript React", 0, 0, 9, 0, 2, 4, 15
"h:\work\_projects\react\volume-trainings\src\components\header\header.css", "CSS", 30, 0, 0, 0, 0, 0, 30
"h:\work\_projects\react\volume-trainings\src\components\header\header.tsx", "TypeScript React", 0, 0, 36, 0, 2, 5, 43
"h:\work\_projects\react\volume-trainings\src\components\options\options.css", "CSS", 121, 0, 0, 0, 4, 5, 130
"h:\work\_projects\react\volume-trainings\src\components\options\options.tsx", "TypeScript React", 0, 0, 85, 0, 5, 16, 106
"h:\work\_projects\react\volume-trainings\src\components\schedule\ex-set\ex-set.css", "CSS", 76, 0, 0, 0, 0, 0, 76
"h:\work\_projects\react\volume-trainings\src\components\schedule\ex-set\ex-set.tsx", "TypeScript React", 0, 0, 80, 0, 2, 16, 98
