"filename", "language", "TypeScript", "TypeScript React", "CSS", "XML", "comment", "blank", "total"
"h:\work\_projects\react\volume-trainings\src\App.css", "CSS", 0, 0, 12, 0, 0, 0, 12
"h:\work\_projects\react\volume-trainings\src\App.tsx", "TypeScript React", 0, 62, 0, 0, 4, 26, 92
"h:\work\_projects\react\volume-trainings\src\assets\svg\arrow_downward_black_24dp.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"h:\work\_projects\react\volume-trainings\src\assets\svg\close_black_24dp.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"h:\work\_projects\react\volume-trainings\src\assets\svg\content_copy_black_24dp.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"h:\work\_projects\react\volume-trainings\src\assets\svg\delete_outline_black_24dp-red.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"h:\work\_projects\react\volume-trainings\src\assets\svg\delete_outline_black_24dp.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"h:\work\_projects\react\volume-trainings\src\assets\svg\done_black_24dp.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"h:\work\_projects\react\volume-trainings\src\assets\svg\edit_black_24dp.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"h:\work\_projects\react\volume-trainings\src\assets\svg\keyboard_arrow_down_black_24dp.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"h:\work\_projects\react\volume-trainings\src\assets\svg\menu_black_24dp.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"h:\work\_projects\react\volume-trainings\src\components\footer\footer.css", "CSS", 0, 0, 5, 0, 1, 0, 6
"h:\work\_projects\react\volume-trainings\src\components\footer\footer.tsx", "TypeScript React", 0, 9, 0, 0, 2, 4, 15
"h:\work\_projects\react\volume-trainings\src\components\header\header.css", "CSS", 0, 0, 31, 0, 0, 1, 32
"h:\work\_projects\react\volume-trainings\src\components\header\header.tsx", "TypeScript React", 0, 48, 0, 0, 2, 5, 55
"h:\work\_projects\react\volume-trainings\src\components\home\home.css", "CSS", 0, 0, 6, 0, 1, 0, 7
"h:\work\_projects\react\volume-trainings\src\components\home\home.tsx", "TypeScript React", 0, 22, 0, 0, 4, 10, 36
"h:\work\_projects\react\volume-trainings\src\components\month\month.css", "CSS", 0, 0, 83, 0, 4, 3, 90
"h:\work\_projects\react\volume-trainings\src\components\month\month.tsx", "TypeScript React", 0, 81, 0, 0, 9, 15, 105
"h:\work\_projects\react\volume-trainings\src\components\options\options.css", "CSS", 0, 0, 152, 0, 21, 8, 181
"h:\work\_projects\react\volume-trainings\src\components\options\options.tsx", "TypeScript React", 0, 113, 0, 0, 5, 16, 134
"h:\work\_projects\react\volume-trainings\src\components\schedule\days-menu\days-menu.css", "CSS", 0, 0, 11, 0, 0, 0, 11
"h:\work\_projects\react\volume-trainings\src\components\schedule\days-menu\days-menu.tsx", "TypeScript React", 0, 21, 0, 0, 4, 7, 32
"h:\work\_projects\react\volume-trainings\src\components\schedule\ex-set\ex-set.css", "CSS", 0, 0, 76, 0, 0, 0, 76
"h:\work\_projects\react\volume-trainings\src\components\schedule\ex-set\ex-set.tsx", "TypeScript React", 0, 75, 0, 0, 2, 13, 90
"h:\work\_projects\react\volume-trainings\src\components\schedule\exercise\exercise.css", "CSS", 0, 0, 94, 0, 7, 2, 103
"h:\work\_projects\react\volume-trainings\src\components\schedule\exercise\exercise.tsx", "TypeScript React", 0, 157, 0, 0, 6, 26, 189
"h:\work\_projects\react\volume-trainings\src\components\schedule\menu-day\menu-day.css", "CSS", 0, 0, 116, 0, 2, 3, 121
"h:\work\_projects\react\volume-trainings\src\components\schedule\menu-day\menu-day.tsx", "TypeScript React", 0, 91, 0, 0, 4, 15, 110
"h:\work\_projects\react\volume-trainings\src\components\schedule\schedule.css", "CSS", 0, 0, 47, 0, 2, 3, 52
"h:\work\_projects\react\volume-trainings\src\components\schedule\schedule.tsx", "TypeScript React", 0, 90, 0, 0, 6, 15, 111
